[2018-04-15 18:09:12,474] Code: 601328, not enough cash, cannot buy.
[2018-04-15 18:09:12,476] Code: 601398, not enough cash, cannot buy.
[2018-04-15 18:09:12,481] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:12,484] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:12,489] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:12,503] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:12,515] Code: {}, not exists in Positions, hold failed.
[2018-04-15 18:09:12,517] Code: {}, not exists in Positions, hold failed.
[2018-04-15 18:09:12,523] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:12,525] Code: 601398, not enough cash, cannot buy.
[2018-04-15 18:09:12,527] Code: 601328, not enough cash, cannot buy.
[2018-04-15 18:09:12,529] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:12,533] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:12,535] Code: {}, not exists in Positions, hold failed.
[2018-04-15 18:09:12,542] Code: 601398, not enough cash, cannot buy.
[2018-04-15 18:09:12,543] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:12,545] Code: 601398, not enough cash, cannot buy.
[2018-04-15 18:09:12,547] Code: {}, not exists in Positions, hold failed.
[2018-04-15 18:09:12,551] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:12,552] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:12,554] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:12,560] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:12,580] Code: {}, not exists in Positions, hold failed.
[2018-04-15 18:09:12,596] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:12,617] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:12,631] Code: 601398, not exists in Positions, sell failed.
[2018-04-15 18:09:12,640] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:12,642] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:12,644] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:12,646] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:12,650] Code: 601328, not enough cash, cannot buy.
[2018-04-15 18:09:12,651] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:12,653] Code: 601328, not enough cash, cannot buy.
[2018-04-15 18:09:12,660] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:12,667] Code: 601398, not enough cash, cannot buy.
[2018-04-15 18:09:12,676] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:12,678] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:12,680] Code: 601398, not enough cash, cannot buy.
[2018-04-15 18:09:12,682] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:12,685] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:12,687] Code: 601398, not enough cash, cannot buy.
[2018-04-15 18:09:12,690] Code: 601328, not enough cash, cannot buy.
[2018-04-15 18:09:12,691] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:12,704] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:12,705] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:12,713] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:12,715] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:12,717] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:12,724] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:12,726] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:12,728] Code: 601398, not enough cash, cannot buy.
[2018-04-15 18:09:12,731] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:12,735] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:12,737] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:12,744] Code: 601398, not enough cash, cannot buy.
[2018-04-15 18:09:12,746] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:12,749] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:12,751] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:12,755] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:12,758] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:12,760] Code: 601398, not enough cash, cannot buy.
[2018-04-15 18:09:12,762] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:12,764] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:12,771] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:12,773] Code: 601398, not enough cash, cannot buy.
[2018-04-15 18:09:12,780] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:12,785] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:12,787] Code: 601328, not enough cash, cannot buy.
[2018-04-15 18:09:12,789] Code: 601398, not enough cash, cannot buy.
[2018-04-15 18:09:12,791] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:12,805] Code: 601328, not enough cash, cannot buy.
[2018-04-15 18:09:12,807] Code: 601398, not enough cash, cannot buy.
[2018-04-15 18:09:12,809] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:12,816] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:12,826] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:12,832] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:12,835] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:12,839] Code: 601328, not enough cash, cannot buy.
[2018-04-15 18:09:12,840] Code: 601398, not enough cash, cannot buy.
[2018-04-15 18:09:12,842] Code: 601398, not enough cash, cannot buy.
[2018-04-15 18:09:12,851] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:12,856] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:12,858] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:12,866] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:12,876] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:12,884] Code: 601398, not enough cash, cannot buy.
[2018-04-15 18:09:12,886] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:12,888] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:12,892] Code: 601328, not enough cash, cannot buy.
[2018-04-15 18:09:12,893] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:12,895] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:12,897] Code: 601328, not enough cash, cannot buy.
[2018-04-15 18:09:12,901] Code: 601328, not enough cash, cannot buy.
[2018-04-15 18:09:12,903] Code: 601328, not enough cash, cannot buy.
[2018-04-15 18:09:12,904] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:12,913] Code: 601398, not enough cash, cannot buy.
[2018-04-15 18:09:12,915] Code: 601328, not enough cash, cannot buy.
[2018-04-15 18:09:12,929] Code: 601328, not enough cash, cannot buy.
[2018-04-15 18:09:12,938] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:12,940] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:12,942] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:12,963] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:12,966] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:12,968] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:12,977] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:12,982] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:12,994] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:13,008] Code: 601328, not enough cash, cannot buy.
[2018-04-15 18:09:13,018] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:13,020] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:13,028] Code: {}, not exists in Positions, hold failed.
[2018-04-15 18:09:13,093] Code: {}, not exists in Positions, hold failed.
[2018-04-15 18:09:13,102] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:13,104] Code: {}, not exists in Positions, hold failed.
[2018-04-15 18:09:13,117] Code: {}, not exists in Positions, hold failed.
[2018-04-15 18:09:13,127] Code: {}, not exists in Positions, hold failed.
[2018-04-15 18:09:13,130] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:13,143] Code: {}, not exists in Positions, hold failed.
[2018-04-15 18:09:13,148] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:13,166] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:13,167] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:13,171] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:13,221] Code: 601328, not enough cash, cannot buy.
[2018-04-15 18:09:13,223] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:13,252] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:13,254] Code: 601328, not enough cash, cannot buy.
[2018-04-15 18:09:13,256] Code: 601328, not enough cash, cannot buy.
[2018-04-15 18:09:13,258] Code: 601398, not enough cash, cannot buy.
[2018-04-15 18:09:13,274] Code: 601398, not enough cash, cannot buy.
[2018-04-15 18:09:13,276] Code: 601328, not enough cash, cannot buy.
[2018-04-15 18:09:13,279] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:13,283] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:13,318] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:13,327] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:13,355] Code: 601398, not enough cash, cannot buy.
[2018-04-15 18:09:13,358] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:13,372] Code: 601328, not enough cash, cannot buy.
[2018-04-15 18:09:13,376] Code: 601328, not enough cash, cannot buy.
[2018-04-15 18:09:13,378] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:13,385] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:13,396] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:13,411] Code: 601328, not enough cash, cannot buy.
[2018-04-15 18:09:13,431] Code: {}, not exists in Positions, hold failed.
[2018-04-15 18:09:13,439] Code: 601328, not enough cash, cannot buy.
[2018-04-15 18:09:13,479] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:13,482] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:13,501] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:13,503] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:13,522] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:13,525] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:13,577] Code: 601328, not enough cash, cannot buy.
[2018-04-15 18:09:13,623] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:13,650] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:13,659] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:13,663] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:13,668] Code: 601398, not enough cash, cannot buy.
[2018-04-15 18:09:13,670] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:13,672] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:13,674] Code: 601398, not enough cash, cannot buy.
[2018-04-15 18:09:13,677] Code: 601398, not enough cash, cannot buy.
[2018-04-15 18:09:13,679] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:13,681] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:13,683] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:13,690] Code: {}, not exists in Positions, hold failed.
[2018-04-15 18:09:13,697] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:13,701] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:13,715] Code: 601328, not enough cash, cannot buy.
[2018-04-15 18:09:13,718] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:13,722] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:13,786] Code: 601998, not enough cash, cannot buy.
[2018-04-15 18:09:13,788] Code: 601328, not enough cash, cannot buy.
[2018-04-15 18:09:13,791] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:13,795] Code: 601398, not enough cash, cannot buy.
[2018-04-15 18:09:13,797] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:13,800] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:13,802] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:13,806] Code: 601328, not enough cash, cannot buy.
[2018-04-15 18:09:13,809] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:13,813] Code: 601328, not enough cash, cannot buy.
[2018-04-15 18:09:13,815] Code: 601398, not enough cash, cannot buy.
[2018-04-15 18:09:13,826] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:13,828] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:13,832] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:13,835] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:13,839] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:13,844] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:13,846] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:13,847] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:13,852] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:13,865] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:13,867] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:13,870] Code: 600036, not enough cash, cannot buy.
[2018-04-15 18:09:13,872] Code: 601328, not exists in Positions, sell failed.
[2018-04-15 18:09:13,881] Code: 600036, not enough cash, cannot buy.
